Equipe,Posicao,Nome,PPG,RPG,APG,Altura,Peso,País,Idade,Data_de_nascimento,DRAFT,Experiência,Mês
New York Knicks,Forward,Precious Achiuwa,6.3,5.6,1.0,2.03,110,Nigeria,25 years,1999-09-19,2020 R1 Pick 20,4 Years,9
Houston Rockets,Center,Steven Adams,3.5,5.3,1.2,2.11,120,New Zealand,31 years,1993-07-20,2013 R1 Pick 12,10 Years,7
Miami Heat,Center-Forward,Bam Adebayo,17.6,9.8,4.4,2.06,116,USA,27 years,1997-07-18,2017 R1 Pick 14,7 Years,7
Toronto Raptors,Guard,Ochai Agbaji,10.1,3.7,1.5,1.96,98,USA,24 years,2000-04-20,2022 R1 Pick 14,2 Years,4
Memphis Grizzlies,Forward-Center,Santi Aldama,12.8,6.6,2.9,2.13,98,Spain,24 years,2001-01-10,2021 R1 Pick 30,3 Years,1
Denver Nuggets,Guard,Trey Alexander,1.0,0.5,0.4,1.93,84,USA,21 years,2003-05-02,Undrafted,Rookie,5
Minnesota Timberwolves,Guard,Nickeil Alexander-Walker,9.3,3.2,2.5,1.96,93,Canada,26 years,1998-09-02,2019 R1 Pick 17,5 Years,9
Phoenix Suns,Guard,Grayson Allen,10.7,3.1,2.2,1.93,90,USA,29 years,1995-10-08,2018 R1 Pick 21,6 Years,10
Cleveland Cavaliers,Center,Jarrett Allen,13.4,10.1,1.9,2.06,110,USA,26 years,1998-04-21,2017 R1 Pick 22,7 Years,4
New Orleans Pelicans,Guard,Jose Alvarado,9.6,2.3,4.6,1.83,81,USA,26 years,1998-04-12,Undrafted,3 Years,4
Miami Heat,Forward-Guard,Kyle Anderson,5.2,3.1,2.2,2.06,104,USA,31 years,1993-09-20,2014 R1 Pick 30,10 Years,9
Milwaukee Bucks,Forward,Giannis Antetokounmpo,30.2,12.0,5.9,2.11,110,Greece,30 years,1994-12-06,2013 R1 Pick 15,11 Years,12
Orlando Magic,Guard,Cole Anthony,9.6,3.0,2.9,1.88,84,USA,24 years,2000-05-15,2020 R1 Pick 15,4 Years,5
New York Knicks,Forward-Guard,OG Anunoby,16.8,4.8,2.2,2.01,109,United Kingdom,27 years,1997-07-17,2017 R1 Pick 23,7 Years,7
Golden State Warriors,Guard,Taran Armstrong,--,--,--,1.96,86,Australia,23 years,2002-01-15,Undrafted,Rookie,1
Portland Trail Blazers,Forward,Deni Avdija,15.9,6.8,3.7,2.06,109,Israel,24 years,2001-01-03,2020 R1 Pick 9,4 Years,1
Portland Trail Blazers,Center,Deandre Ayton,14.4,10.2,1.6,2.13,114,Bahamas,26 years,1998-07-23,2018 R1 Pick 1,6 Years,7
Memphis Grizzlies,Forward,Marvin Bagley III,4.1,2.6,0.3,2.08,107,USA,26 years,1999-03-14,2018 R1 Pick 2,6 Years,3
LA Clippers,Forward,Patrick Baldwin Jr.,2.1,1.0,0.1,2.06,100,USA,22 years,2002-11-18,2022 R1 Pick 28,2 Years,11
Charlotte Hornets,Guard,LaMelo Ball,25.4,5.1,7.2,2.01,82,USA,23 years,2001-08-22,2020 R1 Pick 3,4 Years,8
Chicago Bulls,Guard,Lonzo Ball,7.6,3.4,3.3,1.98,86,USA,27 years,1997-10-27,2017 R1 Pick 2,5 Years,10
NA,NA,Mo Bamba,4.3,4.5,0.6,2.13,105,USA,26 years,1998-05-12,2018 R1 Pick 6,6 Years,5
Orlando Magic,Forward,Paolo Banchero,25.4,7.2,4.8,2.08,113,USA,22 years,2002-11-12,2022 R1 Pick 1,2 Years,11
Memphis Grizzlies,Guard,Desmond Bane,18.9,6.3,5.4,1.96,98,USA,26 years,1998-06-25,2020 R1 Pick 30,4 Years,6
Portland Trail Blazers,Forward,Dalano Banton,7.8,1.8,2.1,2.03,92,Canada,25 years,1999-11-07,2021 R2 Pick 46,3 Years,11
Atlanta Hawks,Forward,Dominick Barlow,3.9,2.0,0.4,2.03,98,USA,21 years,2003-05-26,Undrafted,2 Years,5
San Antonio Spurs,Forward,Harrison Barnes,11.8,3.8,1.7,2.03,102,USA,32 years,1992-05-30,2012 R1 Pick 7,12 Years,5
Toronto Raptors,Forward-Guard,Scottie Barnes,19.7,7.8,5.9,2.01,108,USA,23 years,2001-08-01,2021 R1 Pick 4,3 Years,8
Toronto Raptors,Forward-Guard,RJ Barrett,21.5,6.5,5.7,1.98,97,Canada,24 years,2000-06-14,2019 R1 Pick 3,5 Years,6
San Antonio Spurs,Center-Forward,Charles Bassey,4.6,4.4,0.5,2.08,104,Nigeria,24 years,2000-10-28,2021 R2 Pick 53,3 Years,10
Cleveland Cavaliers,Forward,Emoni Bates,0.9,--,0.6,2.03,77,USA,21 years,2004-01-28,2023 R2 Pick 49,1 Year,1
Toronto Raptors,Forward,Jamison Battle,6.3,2.2,0.8,2.01,100,USA,23 years,2001-05-10,Undrafted,Rookie,5
LA Clippers,Guard-Forward,Nicolas Batum,3.9,2.9,1.2,2.03,104,France,36 years,1988-12-14,2008 R1 Pick 25,16 Years,12
Charlotte Hornets,Guard,Damion Baugh,8.3,3.1,3.9,1.93,88,USA,24 years,2000-08-03,Undrafted,Rookie,8
Phoenix Suns,Guard,Bradley Beal,17.3,3.4,3.6,1.93,94,USA,31 years,1993-06-28,2012 R1 Pick 3,12 Years,6
Detroit Pistons,Guard,Malik Beasley,16.2,2.7,1.7,1.93,85,USA,28 years,1996-11-26,2016 R1 Pick 19,8 Years,11
New York Knicks,Forward,MarJon Beauchamp,2.2,1.2,0.3,2.01,90,USA,24 years,2000-10-12,2022 R1 Pick 24,2 Years,10
Brooklyn Nets,Guard,Reece Beekman,2.0,0.9,1.3,1.91,86,USA,23 years,2001-10-08,Undrafted,Rookie,10
Washington Wizards,Guard-Forward,Saddiq Bey,13.7,6.5,1.5,2.01,98,USA,25 years,1999-04-09,2020 R1 Pick 19,4 Years,4
Orlando Magic,Center-Forward,Goga Bitadze,7.6,6.8,2.0,2.08,113,Georgia,25 years,1999-07-20,2019 R1 Pick 18,5 Years,7
San Antonio Spurs,Center,Bismack Biyombo,5.1,4.8,1.1,2.03,116,DRC,32 years,1992-08-28,2011 R1 Pick 7,13 Years,8
Orlando Magic,Guard,Anthony Black,9.0,2.8,3.1,2.01,91,USA,21 years,2004-01-20,2023 R1 Pick 6,1 Year,1
LA Clippers,Guard,Bogdan Bogdanovi?,11.2,3.0,2.6,1.96,102,Serbia,32 years,1992-08-18,2014 R1 Pick 27,7 Years,8
Phoenix Suns,Center-Forward,Bol Bol,7.2,3.2,0.6,2.21,100,Sudan,25 years,1999-11-16,2019 R2 Pick 44,5 Years,11
Philadelphia 76ers,Forward,Adem Bona,4.0,3.3,0.3,2.08,107,Nigeria,21 years,2003-03-28,2024 R2 Pick 41,Rookie,3
Phoenix Suns,Guard,Devin Booker,25.8,4.1,7.0,1.98,93,USA,28 years,1996-10-30,2015 R1 Pick 13,9 Years,10
New Orleans Pelicans,Guard,Brandon Boston,10.7,3.2,2.2,1.98,85,USA,23 years,2001-11-28,2021 R2 Pick 51,3 Years,11
Toronto Raptors,Forward,Chris Boucher,10.0,4.5,0.7,2.06,91,Saint Lucia,32 years,1993-01-11,Undrafted,7 Years,1
Milwaukee Bucks,Guard,Jamaree Bouyea,2.0,--,1.0,1.88,82,USA,25 years,1999-06-27,Undrafted,2 Years,6
NA,NA,Tony Bradley,3.0,1.9,0.4,2.11,112,USA,27 years,1998-01-08,2017 R1 Pick 28,6 Years,1
San Antonio Spurs,Forward,Malaki Branham,3.9,1.0,0.7,1.93,82,USA,21 years,2003-05-12,2022 R1 Pick 20,2 Years,5
Denver Nuggets,Guard,Christian Braun,15.1,5.0,2.4,1.98,100,USA,23 years,2001-04-17,2022 R1 Pick 21,2 Years,4
Phoenix Suns,Forward,Jalen Bridges,0.8,0.6,--,2.03,102,USA,23 years,2001-05-14,Undrafted,Rookie,5
New York Knicks,Guard-Forward,Mikal Bridges,17.7,3.3,3.6,1.98,95,USA,28 years,1996-08-30,2018 R1 Pick 10,6 Years,8
Charlotte Hornets,Forward,Miles Bridges,21.0,7.7,3.9,2.01,102,USA,27 years,1998-03-21,2018 R1 Pick 12,5 Years,3
Philadelphia 76ers,Forward-Guard,Oshae Brissett,9.4,3.6,0.8,2.01,95,Canada,26 years,1998-06-20,Undrafted,5 Years,6
Washington Wizards,Guard,Malcolm Brogdon,12.7,3.8,4.1,1.93,104,USA,32 years,1992-12-11,2016 R2 Pick 36,8 Years,12
Houston Rockets,Guard-Forward,Dillon Brooks,14.0,3.8,1.7,1.98,102,Canada,29 years,1996-01-22,2017 R2 Pick 45,7 Years,1
New Orleans Pelicans, Forward,Keion Brooks Jr.,2.7,2.7,1.0,2.01,95,USA,24 years,2000-08-07,Undrafted,Rookie,8
New Orleans Pelicans,Guard-Forward,Bruce Brown,7.8,3.7,2.0,1.93,92,USA,28 years,1996-08-15,2018 R2 Pick 42,6 Years,8
Boston Celtics,Guard-Forward,Jaylen Brown,22.8,6.1,4.7,1.98,101,USA,28 years,1996-10-24,2016 R1 Pick 3,8 Years,10
LA Clippers,Forward,Kobe Brown,2.1,1.7,0.6,2.01,113,USA,25 years,2000-01-01,2023 R1 Pick 30,1 Year,1
NA,NA,Moses Brown,5.8,3.4,0.2,2.18,117,USA,25 years,1999-10-13,Undrafted,5 Years,10
New York Knicks,Guard,Jalen Brunson,26.3,3.0,7.4,1.88,86,USA,28 years,1996-08-31,2018 R2 Pick 33,6 Years,8
Indiana Pacers,Center-Forward,Thomas Bryant,6.6,4.0,0.9,2.08,112,USA,27 years,1997-07-31,2017 R2 Pick 42,7 Years,7
Atlanta Hawks,Guard,Kobe Bufkin,5.3,2.1,1.7,1.93,88,USA,21 years,2003-09-21,2023 R1 Pick 15,1 Year,9
Miami Heat,Guard,Alec Burks,6.1,2.6,1.1,1.96,97,USA,33 years,1991-07-20,2011 R1 Pick 12,13 Years,7
Philadelphia 76ers,Guard,Jared Butler,7.6,1.7,3.2,1.91,88,USA,24 years,2000-08-25,2021 R2 Pick 40,3 Years,8
Golden State Warriors,Forward,Jimmy Butler III,17.3,5.6,5.5,2.01,104,USA,35 years,1989-09-14,2011 R1 Pick 30,13 Years,9
Chicago Bulls,Forward,Matas Buzelis,7.7,3.1,0.8,2.08,95,USA,20 years,2004-10-13,2024 R1 Pick 11,Rookie,10
New Orleans Pelicans,Forward,Jamal Cain,3.3,2.0,0.6,1.98,87,USA,26 years,1999-03-20,Undrafted,2 Years,3
Orlando Magic,Guard,Kentavious Caldwell-Pope,8.8,2.1,1.8,1.96,93,USA,32 years,1993-02-18,2013 R1 Pick 8,11 Years,2
Portland Trail Blazers,Forward,Toumani Camara,10.9,5.8,2.2,2.01,104,Belgium,24 years,2000-05-08,2023 R2 Pick 52,1 Year,5
Denver Nuggets,Forward,Vlatko ?an?ar,1.6,2.6,0.7,2.03,107,Slovenia,27 years,1997-04-10,2017 R2 Pick 49,4 Years,4
Atlanta Hawks,Center,Clint Capela,8.9,8.5,1.1,2.08,116,Switzerland,30 years,1994-05-18,2014 R1 Pick 25,10 Years,5
Oklahoma City Thunder,Center,Branden Carlson,3.4,1.6,0.4,2.13,100,USA,25 years,1999-06-14,Undrafted,Rookie,6
Washington Wizards,Guard,Bub Carrington,9.0,3.9,4.1,1.93,86,USA,19 years,2005-07-21,2024 R1 Pick 14,Rookie,7
Sacramento Kings,Guard,Devin Carter,4.3,2.3,1.3,1.88,88,USA,23 years,2002-03-18,2024 R1 Pick 13,Rookie,3
Chicago Bulls,Guard,Jevon Carter,3.6,0.9,1.0,1.85,91,USA,29 years,1995-09-14,2018 R2 Pick 32,6 Years,9
Orlando Magic,Center-Forward,Wendell Carter Jr.,9.0,7.5,2.1,2.08,122,USA,25 years,1999-04-16,2018 R1 Pick 7,6 Years,4
NA,NA,D.J. Carton,0.8,1.0,0.8,1.91,91,USA,24 years,2000-08-05,Undrafted,1 Year,8
Oklahoma City Thunder,Guard,Alex Caruso,6.6,2.6,2.5,1.96,84,USA,31 years,1994-02-28,Undrafted,7 Years,2
San Antonio Spurs,Guard,Stephon Castle,14.0,3.2,3.7,1.98,98,USA,20 years,2004-11-01,2024 R1 Pick 4,Rookie,11
Toronto Raptors,Center,Colin Castleton,4.1,4.1,0.9,2.08,113,USA,24 years,2000-05-25,Undrafted,1 Year,5
San Antonio Spurs,Forward,Julian Champagnie,9.4,3.8,1.3,2.01,98,USA,23 years,2001-06-29,Undrafted,2 Years,6
Washington Wizards,Guard-Forward,Justin Champagnie,7.7,4.9,0.9,1.98,93,USA,23 years,2001-06-29,Undrafted,3 Years,6
Toronto Raptors,Center,Ulrich Chomche,0.7,1.1,0.3,2.11,107,Cameroon,19 years,2005-12-30,2024 R2 Pick 57,Rookie,12
LA Clippers,Guard,Cam Christie,1.6,0.9,0.6,1.98,86,USA,19 years,2005-07-24,2024 R2 Pick 46,Rookie,7
Dallas Mavericks,Guard,Max Christie,9.5,3.3,1.9,1.96,86,USA,22 years,2003-02-10,2022 R2 Pick 35,2 Years,2
Miami Heat,Guard,Josh Christopher,0.8,0.4,0.5,1.93,98,USA,23 years,2001-12-08,2021 R1 Pick 24,2 Years,12
Portland Trail Blazers,Guard,Sidy Cissoko,1.1,0.6,0.3,1.98,91,France,20 years,2004-04-02,2023 R2 Pick 44,1 Year,4
Minnesota Timberwolves,Guard,Jaylen Clark,4.6,1.3,0.7,1.93,93,USA,23 years,2001-10-13,2023 R2 Pick 53,Rookie,10
Memphis Grizzlies,Forward,Brandon Clarke,8.3,5.1,1.0,2.03,98,Canada,28 years,1996-09-19,2019 R1 Pick 21,5 Years,9
Utah Jazz,Guard,Jordan Clarkson,16.4,3.2,3.8,1.91,88,USA,32 years,1992-06-07,2014 R2 Pick 46,10 Years,6
Brooklyn Nets,Center,Nic Claxton,10.0,7.6,2.3,2.11,98,USA,25 years,1999-04-17,2019 R2 Pick 31,5 Years,4
Portland Trail Blazers,Center,Donovan Clingan,6.1,7.5,1.0,2.18,127,USA,21 years,2004-02-23,2024 R1 Pick 7,Rookie,2
Brooklyn Nets,Forward-Center,Noah Clowney,9.2,3.8,0.8,2.06,95,USA,20 years,2004-07-14,2023 R1 Pick 21,1 Year,7
LA Clippers,Guard-Forward,Amir Coffey,10.0,2.3,1.1,2.01,95,USA,27 years,1997-06-17,Undrafted,5 Years,6
Utah Jazz,Guard,Isaiah Collier,7.9,3.3,6.2,1.91,95,USA,20 years,2004-10-08,2024 R1 Pick 29,Rookie,10
Utah Jazz,Forward-Center,John Collins,19.0,8.2,2.0,2.06,103,USA,27 years,1997-09-23,2017 R1 Pick 19,7 Years,9
NA,NA,Yuri Collins,1.0,1.5,2.0,1.83,86,USA,24 years,2001-03-07,Undrafted,Rookie,3
Chicago Bulls,Forward-Center,Zach Collins,6.4,4.2,1.7,2.11,113,USA,27 years,1997-11-19,2017 R1 Pick 10,6 Years,11
Minnesota Timberwolves,Guard,Mike Conley,8.3,2.5,4.5,1.83,79,USA,37 years,1987-10-11,2007 R1 Pick 4,17 Years,10
Milwaukee Bucks,Guard,Pat Connaughton,4.0,2.5,1.6,1.96,95,USA,32 years,1993-01-06,2015 R2 Pick 41,9 Years,1
Washington Wizards,Guard,Bilal Coulibaly,12.3,5.0,3.4,2.03,88,France,20 years,2004-07-26,2023 R1 Pick 7,1 Year,7
